,u,i,name,ts,label,cat,subcat,state,idx,cat_subcat
16537,1306,1872,ShopRite,2616,44.15,Grocers,Supermarkets,New Jersey,19660,Grocers - Supermarkets
16538,545,1839,Panera Bread,2616,10.01,Restaurants,Fast Casual,Indiana,8482,Restaurants - Fast Casual
16539,489,1844,Pep Boys,2616,6.39,Autos,Auto Parts & Services,New Jersey,7474,Autos - Auto Parts & Services
16540,226,1760,Dairy Queen,2616,14.82,Restaurants,QSR,Kentucky,3467,Restaurants - QSR
16541,328,1760,Dairy Queen,2616,25.39,Restaurants,QSR,Washington,5130,Restaurants - QSR
16542,288,1845,Peter Piper Pizza,2616,34.9,Restaurants,QSR,Texas,4538,Restaurants - QSR
16543,1543,1872,ShopRite,2616,106.14,Grocers,Supermarkets,Michigan,22739,Grocers - Supermarkets
16544,524,1766,DoorDash,2616,47.82,Restaurants,Delivery Aggregators,Texas,8268,Restaurants - Delivery Aggregators
16545,60,1907,Whole Foods Market,2616,5.49,Grocers,Supermarkets,California,754,Grocers - Supermarkets
16546,1706,1749,Chili's,2616,6.37,Restaurants,Casual Dining,Maryland,24830,Restaurants - Casual Dining
16547,318,1912,Zips Car Wash,2616,19.0,Autos,Auto Parts & Services,Tennessee,5008,Autos - Auto Parts & Services
16548,559,1797,Home Chef,2616,34.7,Grocers,Meal Kits,North Carolina,8706,Grocers - Meal Kits
16549,1012,1838,Panda Express,2616,8.8,Restaurants,Fast Casual,Illinois,15494,Restaurants - Fast Casual
16550,563,1894,Trader Joe's,2616,34.05,Grocers,Supermarkets,New York,8884,Grocers - Supermarkets
16551,1197,1841,PartsGeek,2616,96.48,Autos,Auto Parts & Services,New Jersey,17940,Autos - Auto Parts & Services
16552,730,1884,Taco Bell,2616,29.59,Restaurants,QSR,Florida,11406,Restaurants - QSR
16553,1128,1907,Whole Foods Market,2616,6.38,Grocers,Supermarkets,Ohio,17148,Grocers - Supermarkets
16554,1512,1899,Valvoline Instant Oil Change,2616,41.32,Autos,Auto Parts & Services,Pennsylvania,22248,Autos - Auto Parts & Services
16555,1585,1733,AutoZone,2616,37.2,Autos,Auto Parts & Services,California,23291,Autos - Auto Parts & Services
16556,73,1831,Mister Car Wash,2616,36.0,Autos,Auto Parts & Services,Alabama,952,Autos - Auto Parts & Services
16557,1055,1733,AutoZone,2616,11.75,Autos,Auto Parts & Services,Ohio,16206,Autos - Auto Parts & Services
16558,834,1907,Whole Foods Market,2616,12.45,Grocers,Supermarkets,Texas,12843,Grocers - Supermarkets
16559,1023,1760,Dairy Queen,2616,8.09,Restaurants,QSR,Texas,15620,Restaurants - QSR
16560,206,1733,AutoZone,2616,64.17,Autos,Auto Parts & Services,Texas,3113,Autos - Auto Parts & Services
16561,1576,1838,Panda Express,2616,10.9,Restaurants,Fast Casual,Colorado,23164,Restaurants - Fast Casual
16562,424,1826,Mavis Discount Tire,2616,62.21,Autos,Auto Parts & Services,Pennsylvania,6546,Autos - Auto Parts & Services
16563,728,1907,Whole Foods Market,2616,5.32,Grocers,Supermarkets,Illinois,11316,Grocers - Supermarkets
16564,39,1733,AutoZone,2616,22.99,Autos,Auto Parts & Services,Florida,531,Autos - Auto Parts & Services
16565,1113,1907,Whole Foods Market,2617,11.04,Grocers,Supermarkets,Connecticut,16990,Grocers - Supermarkets
16566,1450,1836,Olive Garden,2617,28.92,Restaurants,Casual Dining,Washington,21538,Restaurants - Casual Dining
16567,519,1839,Panera Bread,2617,11.63,Restaurants,Fast Casual,West Virginia,8184,Restaurants - Fast Casual
16568,1055,1733,AutoZone,2617,87.06,Autos,Auto Parts & Services,Ohio,16207,Autos - Auto Parts & Services
16569,1239,1886,Texas Roadhouse,2617,45.0,Restaurants,Casual Dining,Tennessee,18601,Restaurants - Casual Dining
16570,1450,1886,Texas Roadhouse,2617,45.0,Restaurants,Casual Dining,Washington,21554,Restaurants - Casual Dining
16571,599,1840,Papa John's,2617,49.91,Restaurants,QSR,Florida,9432,Restaurants - QSR
16572,880,1907,Whole Foods Market,2617,13.14,Grocers,Supermarkets,Louisiana,13365,Grocers - Supermarkets
16573,1574,1733,AutoZone,2617,4.23,Autos,Auto Parts & Services,Pennsylvania,23122,Autos - Auto Parts & Services
16574,337,1766,DoorDash,2617,30.51,Restaurants,Delivery Aggregators,Maryland,5228,Restaurants - Delivery Aggregators
16575,615,1884,Taco Bell,2617,15.13,Restaurants,QSR,Texas,9573,Restaurants - QSR
16576,1658,1733,AutoZone,2617,29.83,Autos,Auto Parts & Services,New Jersey,24175,Autos - Auto Parts & Services
16577,613,1766,DoorDash,2617,43.57,Restaurants,Delivery Aggregators,District of Columbia,9564,Restaurants - Delivery Aggregators
