,u,i,name,ts,label,cat,subcat,state,idx,cat_subcat
16729,795,1840,Papa John's,2618,35.62,Restaurants,QSR,Georgia,12308,Restaurants - QSR
16730,6,1884,Taco Bell,2618,6.81,Restaurants,QSR,Wisconsin,79,Restaurants - QSR
16731,10,1839,Panera Bread,2618,23.06,Restaurants,Fast Casual,Arkansas,117,Restaurants - Fast Casual
16732,696,1766,DoorDash,2618,30.17,Restaurants,Delivery Aggregators,District of Columbia,10933,Restaurants - Delivery Aggregators
16733,1012,1838,Panda Express,2618,5.87,Restaurants,Fast Casual,Illinois,15495,Restaurants - Fast Casual
16734,84,1733,AutoZone,2618,23.89,Autos,Auto Parts & Services,Montana,1118,Autos - Auto Parts & Services
16735,962,1730,Audi Payments,2618,1388.26,Autos,Auto Sales,New Hampshire,14751,Autos - Auto Sales
16736,1691,1884,Taco Bell,2618,7.86,Restaurants,QSR,Indiana,24540,Restaurants - QSR
16737,404,1894,Trader Joe's,2618,50.26,Grocers,Supermarkets,Missouri,6263,Grocers - Supermarkets
16738,780,1839,Panera Bread,2618,16.48,Restaurants,Fast Casual,Alabama,12180,Restaurants - Fast Casual
16739,596,1884,Taco Bell,2618,13.32,Restaurants,QSR,North Carolina,9403,Restaurants - QSR
