,u,i,ts,label,idx
159,289,7,1460160000.0,112.58,3268
160,110,8,1460332800.0,20.0,1102
161,377,1,1460332800.0,1705.0,4223
162,282,1,1460505600.0,87.0,3100
163,341,7,1460505600.0,26.38,3879
164,293,3,1460505600.0,84.39,3339
165,250,3,1460592000.0,5.06,2546
166,282,1,1460592000.0,84.0,3101
167,317,8,1460592000.0,20.0,3629
168,442,7,1460678400.0,58.4,5078
169,225,3,1460678400.0,100.86,2293
170,341,7,1460678400.0,59.12,3880
171,265,3,1460851200.0,106.92,2934
172,343,1,1460851200.0,111.0,3897
173,325,2,1460937600.0,5.78,3689
174,316,3,1461110400.0,13.72,3617
175,42,3,1461369600.0,146.84,507
176,300,7,1461369600.0,269.37,3429
177,436,5,1461542400.0,10.0,5000
178,356,10,1461542400.0,853.25,4161
179,289,2,1461542400.0,12.42,3233
180,301,3,1461542400.0,94.84,3451
181,317,8,1461628800.0,76.0,3630
182,213,3,1461801600.0,10.0,2190
183,213,3,1462233600.0,106.33,2191
184,289,2,1462320000.0,9.29,3234
185,431,3,1462320000.0,75.92,4886
186,458,3,1462406400.0,224.83,5175
187,289,2,1462492800.0,7.13,3235
188,213,3,1462492800.0,-100.0,2192
189,377,1,1462579200.0,241.0,4224
190,325,7,1462579200.0,56.29,3692
191,304,7,1462579200.0,94.47,3508
192,500,1,1462579200.0,551.0,5531
193,500,1,1462665600.0,392.0,5532
194,129,4,1462665600.0,105.84,1300
195,289,2,1462665600.0,10.8,3236
196,377,1,1462665600.0,-153.0,4225
197,92,3,1462838400.0,59.99,945
198,356,10,1462924800.0,1109.79,4162
199,377,1,1462924800.0,-241.0,4226
200,26,7,1463011200.0,34.16,345
201,122,3,1463097600.0,76.31,1206
202,159,2,1463184000.0,7.87,1651
203,225,3,1463184000.0,100.86,2294
204,293,3,1463184000.0,84.39,3340
205,110,7,1463184000.0,125.28,1091
206,250,3,1463270400.0,135.45,2547
207,261,7,1463270400.0,28.54,2715
208,483,7,1463356800.0,41.83,5405
209,39,7,1463356800.0,61.48,458
210,265,3,1463443200.0,106.92,2935
211,356,10,1463702400.0,-1109.79,4163
212,419,2,1463875200.0,11.23,4627
213,42,3,1463961600.0,146.84,508
214,48,7,1464134400.0,21.78,587
215,219,5,1464134400.0,10.0,2234
216,301,3,1464134400.0,87.41,3452
217,92,3,1464220800.0,76.73,946
218,191,8,1464220800.0,106.0,1932
219,27,7,1464220800.0,43.3,370
220,26,7,1464220800.0,254.61,346
221,289,2,1464307200.0,10.8,3237
222,341,7,1464393600.0,24.84,3881
223,353,5,1464480000.0,20.0,4124
224,146,5,1464480000.0,8.57,1514
225,377,7,1464566400.0,23.76,4233
226,431,8,1464652800.0,4.34,4937
227,265,2,1464652800.0,34.0,2864
228,431,3,1464912000.0,75.92,4887
229,458,3,1464998400.0,224.42,5176
230,430,1,1465257600.0,73.0,4861
231,6,3,1465344000.0,147.04,65
232,104,1,1465430400.0,1481.0,1049
233,419,2,1465603200.0,19.95,4628
234,289,2,1465603200.0,5.4,3238
235,304,4,1465603200.0,102.0,3505
236,261,7,1465603200.0,43.55,2716
237,289,2,1465689600.0,15.53,3239
238,122,3,1465689600.0,76.31,1207
239,277,10,1465862400.0,130.95,3029
240,293,3,1465862400.0,84.39,3341
241,225,3,1465862400.0,100.86,2295
242,495,2,1465948800.0,5.4,5503
243,307,1,1465948800.0,186.0,3522
244,407,10,1466035200.0,160.22,4515
245,307,1,1466035200.0,241.0,3523
246,500,1,1466121600.0,1845.0,5533
247,265,3,1466121600.0,106.92,2936
248,163,1,1466121600.0,168.0,1711
249,442,1,1466121600.0,310.0,5076
250,261,7,1466467200.0,35.28,2717
251,431,8,1466467200.0,20.0,4938
252,216,1,1466467200.0,954.0,2197
253,242,10,1466640000.0,1000.37,2482
254,92,3,1466812800.0,73.13,947
255,301,3,1466812800.0,87.41,3453
256,132,7,1466812800.0,15.0,1340
257,367,10,1466812800.0,221.11,4204
258,289,2,1466812800.0,10.8,3240
259,265,2,1466899200.0,11.38,2865
260,216,1,1466899200.0,-865.0,2198
261,42,3,1466985600.0,153.83,509
262,365,7,1467072000.0,42.75,4195
263,289,2,1467158400.0,9.29,3241
264,242,7,1467244800.0,169.6,2480
265,187,7,1467331200.0,199.28,1909
266,483,10,1467331200.0,122.21,5419
267,218,2,1467590400.0,4.17,2230
268,431,3,1467590400.0,100.92,4888
269,458,3,1467676800.0,236.79,5177
270,461,5,1467849600.0,33.74,5220
271,357,10,1467936000.0,77.39,4178
272,289,7,1467936000.0,91.54,3269
273,250,3,1468195200.0,45.95,2548
